,rgb_path,mask_path,dataset
258,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_123.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_123.tif,solafune
668,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_16.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_16.tif,solafune
1611,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_59.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_59.tif,solafune
1710,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_679.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_679.tif,solafune
1966,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_909.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_909.tif,solafune
1166,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_2047.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_2047.tif,solafune
468,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1419.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1419.tif,solafune
498,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1446.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1446.tif,solafune
1773,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_735.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_735.tif,solafune
1448,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_442.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_442.tif,solafune
914,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1820.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1820.tif,solafune
569,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_151.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_151.tif,solafune
1082,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1972.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1972.tif,solafune
1021,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1917.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1917.tif,solafune
1116,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_2001.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_2001.tif,solafune
1638,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_613.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_613.tif,solafune
1163,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_2044.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_2044.tif,solafune
1929,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_876.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_876.tif,solafune
330,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1295.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1295.tif,solafune
1496,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_486.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_486.tif,solafune
126,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1110.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1110.tif,solafune
968,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_187.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_187.tif,solafune
558,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_150.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_150.tif,solafune
1960,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_903.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_903.tif,solafune
1470,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_462.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_462.tif,solafune
732,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1657.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1657.tif,solafune
1309,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_317.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_317.tif,solafune
1191,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_210.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_210.tif,solafune
1483,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_474.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_474.tif,solafune
1845,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_80.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_80.tif,solafune
571,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1511.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1511.tif,solafune
341,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1304.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1304.tif,solafune
355,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1317.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1317.tif,solafune
441,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1395.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1395.tif,solafune
1070,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1961.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1961.tif,solafune
33,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1027.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1027.tif,solafune
1090,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_198.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_198.tif,solafune
1643,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_618.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_618.tif,solafune
1972,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_914.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_914.tif,solafune
936,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1840.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1840.tif,solafune
528,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1473.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1473.tif,solafune
1092,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1981.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1981.tif,solafune
130,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1114.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1114.tif,solafune
1798,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_758.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_758.tif,solafune
1162,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_2043.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_2043.tif,solafune
1011,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1908.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1908.tif,solafune
58,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_105.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_105.tif,solafune
1312,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_32.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_32.tif,solafune
1571,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_553.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_553.tif,solafune
279,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1249.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1249.tif,solafune
1772,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_734.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_734.tif,solafune
1253,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_267.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_267.tif,solafune
860,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1772.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1772.tif,solafune
1318,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_325.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_325.tif,solafune
11,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1007.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1007.tif,solafune
943,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1847.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1847.tif,solafune
1148,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_2030.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_2030.tif,solafune
980,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1880.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1880.tif,solafune
1508,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_497.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_497.tif,solafune
1077,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1968.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1968.tif,solafune
1950,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_895.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_895.tif,solafune
1307,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_315.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_315.tif,solafune
1928,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_875.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_875.tif,solafune
174,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1154.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1154.tif,solafune
2003,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_942.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_942.tif,solafune
1399,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_399.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_399.tif,solafune
1457,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_450.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_450.tif,solafune
1840,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_796.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_796.tif,solafune
125,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_111.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_111.tif,solafune
248,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1220.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1220.tif,solafune
1372,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_374.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_374.tif,solafune
252,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1224.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1224.tif,solafune
16,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1011.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1011.tif,solafune
1668,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_640.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_640.tif,solafune
1562,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_545.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_545.tif,solafune
379,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1339.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1339.tif,solafune
810,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1727.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1727.tif,solafune
858,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1770.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1770.tif,solafune
826,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1741.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1741.tif,solafune
658,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/s2_image/train_s2_image_1590.tif,/home/sebastien/Documents/projects/solafune-solar-panel-detection/data/train/mask/train_mask_1590.tif,solafune
